id,abbreviation,name,description,type,flavour,condition
"001",stb,Simply the Best,highest average score,spirit,good,avg_score = (SELECT MAX(avg_score) FROM spirit_game_data_agg)
"002",wip,WIP,lowest average score,spirit,bad,avg_score = (SELECT MIN(avg_score) FROM spirit_game_data_agg)
"003",mvp,MVP,highest average score when winning,spirit,good,avg_win_score = (SELECT MAX(avg_win_score) FROM spirit_game_data_agg)
"004",dq,Drama Queen,lowest average score when losing,spirit,bad,avg_loss_score = (SELECT MIN(avg_loss_score) FROM spirit_game_data_agg)
"005",chbg,It Could Have Been Glorious,highest average score when losing,spirit,good,avg_loss_score = (SELECT MAX(avg_loss_score) FROM spirit_game_data_agg)
"006",bawc,I won... But at What Cost?,lowest average score when winning,spirit,bad,avg_win_score = (SELECT MIN(avg_win_score) FROM spirit_game_data_agg)
"007",nadd,Never a Dull Day,largest standard deviation in winning games,spirit,good,std_dev_win_score = (SELECT MAX(std_dev_win_score) FROM spirit_game_data_agg)
"008",or,Ol' Reliable,smallest standard deviation in winning games,spirit,good,std_dev_win_score = (SELECT MIN(std_dev_win_score) FROM spirit_game_data_agg WHERE win_rate != 0)
"009",siacs,Spirit in a China Shop,largest standard deviation in losing games,spirit,bad,std_dev_loss_score = (SELECT MAX(std_dev_loss_score) FROM spirit_game_data_agg)
"010",gnabp,Gonna Need a Better Plan,smallest standard deviation in losing games,spirit,bad,std_dev_loss_score = (SELECT MIN(std_dev_loss_score) FROM spirit_game_data_agg WHERE loss_rate != 0)
"011",gwih,Great When it Happens,lowest win-rate : win-score ratio,spirit,bad,win_rate_to_win_score_ratio = (SELECT MIN(win_rate_to_win_score_ratio) FROM spirit_game_data_agg WHERE win_rate != 0)
"012",gtjd,Gets the Job Done,highest win-rate : win-score ratio,spirit,good,win_rate_to_win_score_ratio = (SELECT MAX(win_rate_to_win_score_ratio) FROM spirit_game_data_agg)
"013",ls,Lesser Spirit,highest loss-rate : loss-score ratio,spirit,bad,loss_rate_to_loss_score_ratio = (SELECT MAX(loss_rate_to_loss_score_ratio) FROM spirit_game_data_agg)
"014",wew,Wasn't Even Worried,lowest loss-rate : loss-score ratio,spirit,good,loss_rate_to_loss_score_ratio = (SELECT MIN(loss_rate_to_loss_score_ratio) FROM spirit_game_data_agg WHERE loss_rate != 0)
"015",pp,People Person,highest avg dahan on island at endgame,spirit,good,avg_dahan = (SELECT MAX(avg_dahan) FROM spirit_game_data_agg)
"016",as,Anti-social,lowest avg dahan on island at endgame,spirit,bad,avg_dahan = (SELECT MIN(avg_dahan) FROM spirit_game_data_agg)
"017",cf,Clean Freak,highest avg blight on island at endgame,spirit,good,avg_blight = (SELECT MIN(avg_blight) FROM spirit_game_data_agg)
"018",me,Messy Eater,lowest avg blight on island at endgame,spirit,bad,avg_blight = (SELECT MAX(avg_blight) FROM spirit_game_data_agg)
"019",gptb,Got Places to Be,highest average number of invader cards remaining at endgame (when winning),spirit,good,avg_win_cards = (SELECT MAX(avg_win_cards) FROM spirit_game_data_agg)
"020",nr,No Rush,lowest average number of invader cards remaining at endgame (when winning),spirit,bad,avg_win_cards = (SELECT MIN(avg_win_cards) FROM spirit_game_data_agg WHERE win_rate != 0)
"021",hit,Hanging In There,highest average number of invader cards revealed at endgame (when losing),spirit,good,avg_loss_cards = (SELECT MAX(avg_loss_cards) FROM spirit_game_data_agg)
"022",aliwq,At Least it Was Quick,lowest average number of invader cards revealed at endgame (when losing),spirit,bad,avg_loss_cards = (SELECT MIN(avg_loss_cards) FROM spirit_game_data_agg WHERE loss_rate != 0)
"023",i,Introverted,highest ratio of solo games,spirit,neutral,solo_rate = (SELECT MAX(solo_rate) FROM spirit_game_data_agg)
"024",e,Extroverted,lowest ratio of solo games,spirit,neutral,solo_rate = (SELECT MIN(solo_rate) FROM spirit_game_data_agg)
"025",lotp,Life of the Party,highest avg number of spirits in games,spirit,neutral,avg_no_of_spirits = (SELECT MAX(avg_no_of_spirits) FROM spirit_game_data_agg)
"026",cc,Closed Circle,lowest avg number of spirits in games,spirit,neutral,avg_no_of_spirits = (SELECT MIN(avg_no_of_spirits) FROM spirit_game_data_agg)
"027",tp,Team Player,highest ratio of non-solo score to solo score,spirit,neutral,team_bias = (SELECT MAX(team_bias) FROM spirit_game_data_agg WHERE min_no_of_spirits = 1)
"028",boa,Better Off Alone,highest ratio of solo score to non-solo score,spirit,neutral,team_bias = (SELECT MIN(team_bias) FROM spirit_game_data_agg WHERE min_no_of_spirits = 1)
"029",c,Confident,highest average difficulty,spirit,good,avg_difficulty = (SELECT MAX(avg_difficulty) FROM spirit_game_data_agg)
"030",t,Timid,lowest average difficulty,spirit,bad,avg_difficulty = (SELECT MIN(avg_difficulty) FROM spirit_game_data_agg)
